"Reference","Value","Footprint","Datasheet","Qty","DNP","Exclude from BOM","Exclude from Board"
"C1,C2,C9,C10,C11,C14","0.01 µF","Capacitor_THT:C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal","~","6","","",""
"C3,C6,C15,C16","470 µF","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","~","4","","",""
"C4,C5","0.05 µF","Capacitor_THT:C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal","~","2","","",""
"C7,C8","0.1 µF","Capacitor_SMD:C_0603_1608Metric","~","2","","",""
"C12,C13","0.1 µF","Capacitor_THT:C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal","~","2","","",""
"DISP1","OLED Display","ECE:OLED_Display_1.3","","1","","",""
"H1,H2,H3,H4","MountingHole","MountingHole:MountingHole_3.2mm_M3","~","4","","",""
"J1","CUE_SJ1-352XNG","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","","1","","",""
"J2","Conn_01x01_Pin","Connector_Pin:Pin_D1.0mm_L10.0mm_LooseFit","~","1","","",""
"J3,J4,J5","Conn_01x05","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","~","3","","",""
"LS1,LS2","Speaker","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal","~","2","","",""
"R1,R2","10Ω","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","2","","",""
"R3,R4,R5,R6,R7,R8,R9,R10,R_Pullup1,R_Pullup2,R_Pullup3,R_Pullup4,R_Pullup5,R_Pullup6,R_Pullup7","10kΩ","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","15","","",""
"Rpullup1,Rpullup2","2k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","2","","",""
"RV1,RV2","10kΩ","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","2","","",""
"SW1","SW_Push","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","1","","",""
"TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP11,TP12,TP13,TP14,TP15,TP16,TP17,TP18,TP19","TestPoint","TestPoint:TestPoint_Keystone_5000-5004_Miniature","~","19","","",""
"U2","RDA5807M_Module","ECE:RDA5807M_Module_TH","","1","","",""
"U3,U4","LM386","LM386N_4:DIP794W45P254L1016H508Q8","http://www.ti.com/lit/ds/symlink/lm386.pdf","2","","",""
"U5","RPi_Pico_TH","ECE:RPi_Pico_TH","","1","","",""
